STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
        555;19250101;19251231;    5;  -999;   9.94;   13.33;    6.65;-999;-999;-999;-999;-999;    5;   911.0;-999;eor
        555;19260101;19261231;    5;  -999;  10.45;   13.69;    7.25;-999;-999;-999;-999;-999;    5;  1079.0;-999;eor
        555;19270101;19271231;    5;  -999;   9.71;   13.07;    6.61;-999;-999;-999;-999;-999;    5;   856.0;-999;eor
        555;19280101;19281231;    5;  -999;  10.00;   13.67;    6.46;-999;-999;-999;-999;-999;    5;   878.0;-999;eor
        555;19290101;19291231;    5;  -999;   9.37;   12.88;    5.66;-999;-999;-999;-999;-999;    5;   529.0;-999;eor
        555;19300101;19301231;    5;  -999;  10.55;   14.15;    7.17;-999;-999;-999;-999;-999;    5;   875.0;-999;eor
        555;19310101;19311231;    5;  -999;   9.37;   13.08;    6.24;-999;-999;-999;-999;-999;    5;   855.6;   52.6;eor
        555;19320101;19321231;    5;  -999;  10.13;   13.79;    6.68;-999;-999;-999;-999;-999;    5;   697.2;   31.0;eor
        555;19330101;19331231;    5;  -999;   9.48;   13.29;    5.78;-999;-999;-999;-999;-999;    5;   635.0;   36.5;eor
        555;19340101;19341231;    5;  -999;  11.13;   14.68;    7.48;-999;-999;-999;-999;-999;    5;   624.1;   28.1;eor
        555;19350101;19351231;    5;  -999;  10.30;   13.67;    6.74;-999;-999;-999;-999;-999;    5;   759.0;   38.7;eor
        555;19360101;19361231;    5;  -999;  10.12;   13.48;    6.85;-999;-999;-999;-999;-999;    5;   868.7;   65.9;eor
        555;19370101;19371231;    5;  -999;  10.43;   13.79;    7.11;-999;-999;-999;-999;-999;    5;   740.3;   30.6;eor
        555;19380101;19381231;    5;  -999;  10.55;   13.76;    7.21;-999;-999;-999;-999;-999;    5;   766.1;   39.8;eor
        555;19390101;19391231;    5;  -999;  10.35;   13.48;    6.95;-999;-999;-999;-999;-999;    5;   855.7;   35.6;eor
        555;19400101;19401231;    5;  5.22;   8.98;   12.34;    5.29;    3.20; 1504.80;-999;  28.8; -16.9;    5;   893.2;   61.8;eor
        555;19410101;19411231;    5;  5.49;   9.55;   12.65;    6.21;    3.21; 1373.10;-999;  32.8; -12.5;    5;   756.0;   28.6;eor
        555;19420101;19421231;    5;  5.29;   9.45;   12.82;    6.13;    3.31; 1552.80;-999;  32.1; -20.3;    5;   599.9;   20.3;eor
        555;19430101;19431231;    5;  5.58;  10.93;   14.44;    7.46;    3.08; 1642.80;-999;  33.0;  -9.2;    5;   667.7;   29.6;eor
        555;19440101;19441231;    5;  5.64;  10.18;   13.23;    7.05;    3.17; 1335.60;-999;  36.0;  -7.0;    5;   902.2;   27.7;eor
        555;19450101;19451231;    5;  5.32;  10.71;   13.96;    7.48;-999; 1450.50;-999;  32.4;  -9.3;    5;   802.8;   35.9;eor
        555;19460101;19461231;    5;  5.51;  10.00;   13.40;    6.49;    1.99; 1511.40;-999;  32.5; -12.1;    5;   764.2;   24.1;eor
        555;19470101;19471231;    5;  5.03;  10.51;   14.22;    6.60;    2.16; 1829.30;-999;  36.3; -14.0;    5;   614.3;   20.7;eor
        555;19480101;19481231;    5;  4.94;  11.03;   14.41;    7.69;    3.00; 1462.30;-999;  32.4; -10.1;    5;   824.1;   27.2;eor
        555;19490101;19491231;    5;  4.63;  11.17;   14.85;    7.46;    2.78; 1549.90;-999;  32.4;  -6.7;    5;   733.5;   68.0;eor
        555;19500101;19501231;    5;  5.22;  10.54;   13.85;    7.37;    3.07; 1296.30;-999;  32.1; -12.4;    5;   814.2;   22.1;eor
        555;19510101;19511231;    5;  4.91;  10.73;   14.25;    7.33;    3.18; 1231.10;-999;  30.6;  -3.4;    5;   859.4;   24.7;eor
        555;19520101;19521231;    5;  5.26;   9.88;   13.12;    6.71;    3.12; 1089.90;-999;  34.6;  -4.7;    5;   971.5;   39.8;eor
        555;19530101;19531231;    5;  5.10;  10.93;   14.43;    7.56;    3.06; 1435.20;-999;  32.2;  -9.9;    5;   646.1;   32.8;eor
