STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       3679;19370101;19371231;    5;  -999;   -999;   13.26;    3.10;-999;-999;-999;-999;-999;    5;  1626.0;-999;eor
       3679;19380101;19381231;    5;  -999;   -999;   12.52;    2.93;-999;-999;-999;-999;-999;    5;  1348.0;-999;eor
       3679;19390101;19391231;    5;  -999;   -999;   11.97;    2.60;-999;-999;-999;-999;-999;    5;  1454.0;-999;eor
       3679;19400101;19401231;    5;  -999;   -999;   11.04;    1.68;-999;-999;-999;-999;-999;    5;  1340.0;-999;eor
       3679;19410101;19411231;    5;  -999;   -999;   11.16;    2.17;-999;-999;-999;-999;-999;    5;  1485.8;   57.8;eor
       3679;19420101;19421231;    5;  -999;   -999;   11.73;    2.58;-999;-999;-999;-999;-999;    5;  1229.8;   51.1;eor
       3679;19430101;19431231;    5;  -999;   -999;   13.27;    3.47;-999;-999;-999;-999;-999;    5;  1196.6;   64.7;eor
       3679;19440101;19441231;    5;  -999;   -999;   11.96;    2.12;-999;-999;-999;-999;-999;    5;  1865.1;   63.4;eor
       3679;19450101;19451231;    5;  -999;   -999;   13.55;    2.87;-999;-999;-999;-999;-999;    5;  1349.5;   43.2;eor
       3679;19460101;19461231;    5;  -999;   -999;   13.71;    2.39;-999;-999;-999;-999;-999;    5;  1107.4;   54.5;eor
       3679;19470101;19471231;    5;  5.19;   8.19;   14.14;    1.84;    2.09;-999;-999;  34.7; -27.4;    5;  1030.6;   54.2;eor
       3679;19480101;19481231;    5;  5.22;   8.17;   14.11;    2.70;    1.97; 1693.00;-999;  32.6; -22.0;    5;  1255.4;   46.0;eor
       3679;19490101;19491231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;  1444.1;   83.5;eor
       3679;19500101;19501231;    5;  5.46;   8.29;   13.70;    3.01;    2.11; 1748.20;-999;  33.5; -20.6;    5;  1209.5;   46.5;eor
       3679;19510101;19511231;    5;  5.41;   8.24;   13.63;    3.59;    2.01; 1607.90;-999;  32.0; -13.5;    5;  1105.6;   73.5;eor
       3679;19520101;19521231;    5;  5.64;   7.21;   12.26;    2.67;    1.37; 1431.30;-999;  34.6; -19.0;    5;  1458.5;   43.2;eor
       3679;19530101;19531231;    5;  4.83;   7.67;   13.49;    2.79;    1.31; 1655.70;-999;  33.7; -18.8;    5;  1343.0;   58.9;eor
       3679;19540101;19541231;    5;  5.54;   6.96;   12.09;    2.73;    1.35; 1322.60;-999;  31.2; -21.6;    5;  1769.3;  118.3;eor
       3679;19550101;19551231;    5;  5.45;   7.01;   12.26;    2.85;    1.27; 1368.60;-999;  29.9; -15.7;    5;  1611.2;   88.2;eor
       3679;19560101;19561231;    5;  5.21;   6.12;   11.57;    1.65;    1.27; 1494.30;-999;  30.2; -31.5;    5;  1552.5;   61.0;eor
       3679;19570101;19571231;    5;  5.15;   7.82;   13.37;    3.33;    1.19; 1520.20;-999;  35.7; -19.1;    5;  1444.2;   63.3;eor
       3679;19580101;19581231;    5;  5.45;   7.50;   12.86;    3.18;    1.28; 1552.80;-999;  33.9; -16.8;    5;  1618.5;   72.7;eor
       3679;19590101;19591231;    5;  4.92;   7.76;   13.79;    2.89;    1.19; 1702.90;-999;  31.2; -18.4;    5;  1553.8;  105.0;eor
       3679;19600101;19601231;    5;  5.65;   7.74;   13.09;    3.43;    1.15; 1460.20;-999;  31.0; -21.6;    5;  1544.5;   49.8;eor
       3679;19610101;19611231;    5;  5.20;   8.32;   14.51;    3.72;    1.15; 1667.00;-999;  31.4; -20.7;    5;  1364.6;   63.7;eor
       3679;19620101;19621231;    5;  5.48;   6.58;   12.41;    1.96;    1.14; 1542.40;-999;  34.3; -24.2;    5;  1406.2;   47.5;eor
       3679;19630101;19631231;    5;  5.50;   6.68;   12.28;    2.23;    1.25; 1509.90;-999;  33.2; -24.0;    5;  1122.4;   35.9;eor
       3679;19640101;19641231;    5;  5.53;   7.37;   12.59;    3.14;    1.34; 1496.00;-999;  31.9; -14.9;    5;  1470.2;   64.8;eor
       3679;19650101;19651231;    5;  5.64;   6.84;   12.02;    2.89;    1.31; 1345.50;-999;  34.3; -18.5;    5;  1791.6;   99.4;eor
       3679;19660101;19661231;    5;  5.71;   8.24;   13.54;    4.32;    1.30; 1425.00;-999;  33.9; -22.7;    5;  1995.9;   92.4;eor
       3679;19670101;19671231;    5;  5.32;   8.46;   14.00;    4.32;    1.33; 1558.60;-999;  35.0; -21.0;    5;  1488.8;   61.0;eor
       3679;19680101;19681231;    5;  5.48;   7.42;   12.75;    3.08;    1.21; 1458.80;-999;  31.1; -22.1;    5;  1545.9;   74.9;eor
       3679;19690101;19691231;    5;  5.33;   7.10;   12.65;    2.53;    1.18; 1596.20;-999;  32.0; -19.2;    5;  1184.0;   40.0;eor
       3679;19700101;19701231;    5;  5.80;   7.26;   12.37;    3.28;    1.10; 1382.50;-999;  31.5; -17.0;    5;  1976.1;   77.8;eor
       3679;19710101;19711231;    5;  5.09;   7.43;   13.13;    2.83;    1.28; 1710.90;-999;  31.1; -19.0;    5;  1156.2;   55.4;eor
       3679;19730101;19731231;    5;  5.24;   7.01;   12.30;    2.62;    1.61; 1400.30;-999;  29.3; -25.0;    5;  1345.7;   60.2;eor
       3679;19740101;19741231;    5;  5.40;   8.16;   13.30;    3.40;    1.67; 1452.60;-999;  32.0; -14.5;    5;  1516.2;   58.8;eor
       3679;19750101;19751231;    5;  5.01;   8.03;   13.32;    3.87;    1.74; 1546.60;-999;  30.2; -16.8;    5;  1220.9;   64.8;eor
       3679;19760101;19761231;    5;  5.02;   7.64;   13.40;    3.00;    1.65; 1581.40;-999;  32.7; -19.6;    5;  1228.8;   43.2;eor
       3679;19770101;19771231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;  1405.9;  109.7;eor
       3679;19780101;19781231;    5;  5.37;   7.14;   12.39;    3.13;    1.50; 1346.90;-999;  29.9; -15.5;    5;  1162.7;   56.6;eor
       3679;19790101;19791231;    5;  5.29;   7.82;   13.02;    3.94;    1.53; 1369.90;-999;  30.9; -20.3;    5;  1606.7;   87.2;eor
       3679;19800101;19801231;    5;  5.31;   7.07;   11.89;    3.15;    1.45; 1336.40;-999;  35.0; -20.9;    5;  1398.5;   40.0;eor
       3679;19810101;19811231;   10;  5.37;   7.66;   12.76;    3.44;    1.44; 1357.00;-999;  30.9; -19.5;   10;  1431.7;  121.0;eor
       3679;19820101;19821231;   10;  4.82;   8.56;   13.99;    4.43;    1.41; 1598.70;-999;  30.3; -14.8;   10;  1135.1;   54.0;eor
       3679;19830101;19831231;   10;  4.73;   8.45;   14.00;    4.06;    1.37; 1545.00;-999;  34.9; -17.5;   10;  1317.6;   54.2;eor
